一系列	一系列
不准	不准
不回	不回
中准	中准
主幹	主干
久後	久后
之後	之后
乾杯	干杯
乾果	干果
乾淨	干净
乾渴	干渴
乾燥	干燥
乾爽	干爽
乾笑	干笑
乾糧	干粮
乾肉	干肉
乾脆	干脆
乾花	干花
乾草	干草
乾菜	干菜
乾貨	干货
乾電池	干电池
乾飯	干饭
乾麵	干面
亂髮	乱发
事後	事后
交匯	交汇
代簽	代签
以後	以后
伺候	伺候
低迴	低回
作准	作准
使團	使团
便簽	便签
係數	系数
俊發	俊发
俘獲	俘获
保準	保准
信匯	信汇
修復	修复
傢伙	家伙
催發	催发
先後	先后
先發	先发
光復	光复
入團	入团
公曆	公历
兵團	兵团
其後	其后
准人	准人
准信	准信
准假	准假
准將	准将
准尊	准尊
准提	准提
准數	准数
准望	准望
准條	准条
准直	准直
准行	准行
准許	准许
凍乾	冻干
出發	出发
分發	分发
刊發	刊发
前後	前后
前衝	前冲
剪髮	剪发
創匯	创汇
創獲	创获
勾心鬥角	勾心斗角
北斗星	北斗星
匯價	汇价
匯出	汇出
匯合	汇合
匯單	汇单
匯報	汇报
匯市	汇市
匯款	汇款
匯水	汇水
匯流	汇流
匯率	汇率
匯票	汇票
匯總	汇总
匯通	汇通
匯進	汇进
匯集	汇集
午後	午后
反復	反复
口乾	口干
后妃	后妃
向後	向后
售後	售后
啟發	启发
回來	回来
回信	回信
回升	回升
回去	回去
回合	回合
回告	回告
回味	回味
回單	回单
回執	回执
回填	回填
回奉	回奉
回家	回家
回復	回复
回念	回念
回憶	回忆
回應	回应
回戲	回戏
回手	回手
回扣	回扣
回拜	回拜
回收	回收
回放	回放
回敘	回叙
回敬	回敬
回春	回春
回望	回望
回次	回次
回歸	回归
回流	回流
回源	回源
回溯	回溯
回潮	回潮
回生	回生
回盤	回盘
回目	回目
回眸	回眸
回程	回程
回空	回空
回答	回答
回籠	回笼
回絕	回绝
回聲	回声
回落	回落
回見	回见
回話	回话
回請	回请
回購	回购
回贈	回赠
回身	回身
回轉	回转
回返	回返
回還	回还
回鄉	回乡
回銷	回销
回鍋	回锅
回門	回门
回電	回电
回頭	回头
回顧	回顾
回饋	回馈
回首	回首
團員	团员
團圞	团圞
團徽	团徽
團扇	团扇
團拜	团拜
團旗	团旗
團校	团校
團籍	团籍
團粒	团粒
團結	团结
團緣	团缘
團練	团练
團臍	团脐
團花	团花
團費	团费
團部	团部
團隊	团队
團頭	团头
團魚	团鱼
團龍	团龙
基幹	基干
多發	多发
大團圓	大团圆
天回	天回
太后	太后
太陽系	太阳系
奉復	奉复
套匯	套汇
奮鬥	奋斗
女后	女后
好鬥	好斗
字彙	字汇
學歷	学历
定準	定准
家係	家系
實幹	实干
對準	对准
展團	展团
履歷	履历
山係	山系
巡迴	巡回
干擾	干扰
平准	平准
平復	平复
年曆	年历
幹什麼	干什么
幹勁	干劲
幹才	干才
幹掉	干掉
幹支	干支
幹政	干政
幹架	干架
幹活	干活
幹犯	干犯
幹連	干连
幹部	干部
康復	康复
引發	引发
彙編	汇编
往回	往回
往復	往复
征發	征发
後世	后世
後事	后事
後人	后人
後來	后来
後傳	后传
後台	后台
後命	后命
後夜	后夜
後天	后天
後學	后学
後宮	后宫
後心	后心
後排	后排
後方	后方
後期	后期
後果	后果
後盾	后盾
後續	后续
後腦	后脑
後腿	后腿
後裔	后裔
後記	后记
後話	后话
後門	后门
後面	后面
後頭	后头
復位	复位
復出	复出
復原	复原
復古	复古
復合	复合
復婚	复婚
復工	复工
復業	复业
復歸	复归
復活	复活
復甦	复苏
復發	复发
復種	复种
復興	复兴
復課	复课
復議	复议
復讀	复读
復辟	复辟
怒氣沖沖	怒气冲冲
怒髮	怒发
恆准	恒准
恩准	恩准
惡鬥	恶斗
應准	应准
戰團	战团
才幹	才干
打鬥	打斗
批准	批准
批發	批发
批鬥	批斗
抒發	抒发
抓獲	抓获
抗禦	抗御
抗鬥	抗斗
折回	折回
抵禦	抵御
抽乾	抽干
抽籤	抽签
拖後	拖后
挽回	挽回
捍禦	捍御
捲回	卷回
捲髮	卷发
提幹	提干
換匯	换汇
揭發	揭发
揮發	挥发
搏鬥	搏斗
撤回	撤回
擊發	击发
收回	收回
收復	收复
收發	收发
收穫	收获
散發	散发
敵後	敌后
斗笠	斗笠
斗膽	斗胆
斗量	斗量
斬獲	斩获
方准	方准
旁系	旁系
旋回	旋回
星團	星团
星斗	星斗
晾乾	晾干
暴發	暴发
暴發戶	暴发户
曆朝	历朝
曆法	历法
曬乾	晒干
書後	书后
書籤	书签
最後	最后
會簽	会签
末後	末后
束髮	束发
枝幹	枝干
查獲	查获
校曆	校历
核准	核准
根系	根系
格鬥	格斗
案發	案发
械鬥	械斗
榮獲	荣获
標準	标准
樹幹	树干
歇後	歇后
歷代	历代
歷任	历任
歷來	历来
歷史	历史
歷屆	历届
歷時	历时
歷盡	历尽
歷程	历程
歷練	历练
歸回	归回
死後	死后
毆鬥	殴斗
母后	母后
母系	母系
民團	民团
氣團	气团
氣沖沖	气冲冲
水沖	水冲
水準	水平
水系	水系
求籤	求签
決鬥	决斗
沒準	没准
沖刷	冲刷
沖劑	冲剂
沖散	冲散
沖服	冲服
沖水	冲水
沖泡	冲泡
沖洗	冲洗
沖涼	冲凉
沖淡	冲淡
沖田	冲田
沖臉	冲脸
沖賬	冲账
沖銷	冲销
沙發	沙发
湯糰	汤团
準保	准保
準兒	准儿
準則	准则
準奏	准奏
準定	准定
準度	准度
準星	准星
準時	准时
準確	准确
準繩	准绳
準話	准话
準頭	准头
準點	准点
激發	激发
烘乾	烘干
煙斗	烟斗
熨斗	熨斗
燙髮	烫发
爭鬥	争斗
父係	父系
牙籤	牙签
特准	特准
獲准	获准
獲利	获利
獲勝	获胜
獲悉	获悉
獲救	获救
獲益	获益
獲知	获知
甩發	甩发
田穫	田获
畚斗	畚斗
當衝	当冲
病歷	病历
發亮	发亮
發付	发付
發佈	发布
發作	发作
發傻	发傻
發光	发光
發冷	发冷
發出	发出
發動機	发动机
發名	发名
發呆	发呆
發售	发售
發問	发问
發單	发单
發嗲	发嗲
發報	发报
發奮	发奋
發射	发射
發急	发急
發悶	发闷
發愁	发愁
發愣	发愣
發慌	发慌
發憤	发愤
發憷	发憷
發懶	发懒
發揮	发挥
發明	发明
發昏	发昏
發暈	发晕
發毛	发毛
發水	发水
發汗	发汗
發火	发火
發燒	发烧
發燙	发烫
發狂	发狂
發狠	发狠
發獎	发奖
發現	发现
發球	发球
發生	发生
發病	发病
發瘋	发疯
發癡	发痴
發睏	发困
發福	发福
發稿	发稿
發端	发端
發笑	发笑
發糕	发糕
發給	发给
發育	发育
發芽	发芽
發蒙	发蒙
發虛	发虚
發行	发行
發表	发表
發言	发言
發誓	发誓
發語	发语
發證	发证
發貨	发货
發起	发起
發車	发车
發送	发送
發運	发运
發達	发达
發配	发配
發酵	发酵
發電	发电
發霉	发霉
發麵	发面
發麻	发麻
白髮	白发
皇后	皇后
益發	益发
直系	直系
直衝	直冲
短髮	短发
研發	研发
破獲	破获
社團	社团
票匯	票汇
禦寒	御寒
秀髮	秀发
秋穫	秋获
突發	突发
竹籤	竹签
筋斗	筋斗
答復	答复
簡歷	简历
簽到	签到
簽呈	签呈
簽字	签字
簽收	签收
簽注	签注
簽約	签约
簽署	签署
簽訂	签订
簽證	签证
籤筒	签筒
粉團	粉团
精幹	精干
精準	精准
糰子	团子
系列	系列
系統	系统
組團	组团
結匯	结汇
絕後	绝后
經歷	经历
線團	线团
縈繫	萦系
縮回	缩回
總匯	总汇
繁複	繁复
繫戀	系恋
繫縛	系缚
美髮	美发
群鬥	群斗
耕穫	耕获
聯繫	联系
肉乾	肉干
胎髮	胎发
能幹	能干
脈衝	脉冲
脫髮	脱发
自發	自发
興沖沖	兴冲冲
若干	若干
草簽	草签
萌發	萌发
落後	落后
落髮	落发
葡萄乾	葡萄干
蒸發	蒸发
虜獲	虏获
融匯	融汇
蟻后	蚁后
衝動	冲动
衝擊	冲击
衝殺	冲杀
衝決	冲决
衝浪	冲浪
衝犯	冲犯
衝發	冲发
衝破	冲破
衝積	冲积
衝突	冲突
衝退	冲退
衝鋒	冲锋
衝騰	冲腾
衝高	冲高
複句	复句
複姓	复姓
複數	复数
複本	复本
複查	复查
複線複診	复线复诊
複習	复习
複製	复制
複試	复试
複述	复述
複雜	复杂
要衝	要冲
規准	规准
親歷	亲历
詞彙	词汇
認準	认准
誘發	诱发
語係	语系
語彙	语汇
請准	请准
謎團	谜团
財團	财团
起貨	起货
越發	越发
軍團	军团
輪迴	轮回
轉匯	转汇
轉回	转回
轉發	转发
轉系	转系
農曆	农历
迂迴	迂回
返回	返回
迴旋	回旋
迴游	回游
迴繞	回绕
迴蕩	回荡
迴路	回路
迴避	回避
迸發	迸发
退回	退回
退後	退后
通匯	通汇
連發	连发
遊歷	游历
過後	过后
郵匯	邮汇
重複	重复
銀團	银团
銀髮	银发
銷簽	销签
鐡籤	鐡签
長髮	长发
門斗	门斗
閱歷	阅历
關係	关系
闡發	阐发
防禦御用	防御御用
阻禦	阻御
阿斗	阿斗
陽曆	阳历
集團	集团
雲團	云团
靠准	靠准
靠後	靠后
音準	音准
頒發	颁发
頭回	头回
題簽	题签
風斗	风斗
飯糰	饭团
餅乾	饼干
首發	首发
駁回	驳回
騰衝	腾冲
體系	体系
高准	高准
髮乳	发乳
髮蠟	发蜡
髮髻	发髻
鬢髮	鬓发
鬥嘴	斗嘴
鬥志	斗志
鬥敵	斗敌
鬥智	斗智
鬥氣	斗气
鬥法	斗法
鬥爭	斗争
鬥牌	斗牌
鬥發	斗发
鬥眼	斗眼
鬥角	斗角
鬥雞	斗鸡
麵團	面团
麻團	麻团
黑髮	黑发
黨團	党团
